query,matched_name,matched_status,query_match_taxon_agree,use_query_as_synonym,use_query_as_accepted,use_query_as_new,namePublishedIn,nameAccordingTo,taxonRemarks,notes
Grammitis limbata Fée,Grammitis longa Fée,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Grammitis stenophylla Parris,Grammitis taeniophylla Parris,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Grammitis stenophylla Parris,Grammitis glossophylla Parris,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Grammitis wattsii Copel.,Grammitis tatei Copel.,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Grammitis wattsii Copel.,Grammitis holttumii Copel.,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Grammitis wattsii Copel.,Grammitis brassii Copel.,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Heterogonium subglabrum Holttum,Heterogonium subglabratum Holttum,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Heterogonium subglabrum Holttum,Heterogonium lobulatum Holttum,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Humata anderssonii (Mett.) C.Chr.,Humata andersonii (Mett.) C. Chr.,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Humata tyermanii T.Moore,Humata tyermannii T. Moore,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Hymenophyllum acanthoides Bosch,Hymenophyllum adiantoides Bosch,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Hymenophyllum caespitosa Gaudich.,Hymenophyllum caespitosum Gaudich.,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Hymenophyllum riukiuense H.Christ,Hymenophyllum liukiuense Christ,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Hypodematium taiwanense Ching ex K.H.Shing,Hypodematium taiwanensis Ching ex K. H. Shing,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Lellingeria mitchellae (Baker ex Hemsl.) A.R.Sm. & R.C.Morancies,Lellingeria mitchelliae (Baker ex Hemsl.) A. R. Sm. & R. C. Moran,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Lellingeria pseudomitchelliae (Lellinger) A.R.Sm. & R.C.Moran,Lellingeria pseudomitchellae (Lellinger) A. R. Sm. & R. C. Moran,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Lepisorus hsiaowutaiensis Ching & S.K.Wu,Lepisorus hsiawutaiensis Ching & S. K. Wu,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Lepisorus xiphiopteris (Baker) W.M.Chu ex Y.X.Lin,Lepisorus xiphopteris (Baker) W. M. Chu ex Y. X. Lin,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Lindsaea blanda Kuhn,Lindsaea repanda Kunze,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Lindsaea millefolia K.U.Kramer,Lindsaea millefolium K. U. Kramer,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Lygodium circinatum (Burm.f.) Sw.,Lygodium circinnatum (Burm. fil.) Sw.,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
"Mankyua chejuensis B.Y.Sun, M.H.Kim & C.H.Kim","Mankyua chejuense B. Y. Sun, M. H. Kim & C. H. Kim",accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Metathelypteris hattorii (H.Ito) Ching,Metathelypteris hattori (H. Itô) Ching,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Metathelypteris hattorii var. nemoralis (Ching) Nakaike,Metathelypteris hattori var. nemoralis (Ching) Nakaike,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Microgramma vacciniifolia (Langsd. & Fisch.) Copel.,Microgramma vaccinifolia (Langsd. & Fisch.) Copel.,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Myriopteris lendigera (Cav.) Fee,Myriopteris lentigera (Cav.) Fée,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Ophioderma redactophyllum Chantanaorr. & Li Bing Zhang,Ophioderma redactophylla Chantanaorr. & Li Bing Zhang,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Oreopteris quelpaertensis (H.Christ) Holub,Oreopteris quelpartensis (Christ) Holub,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Paesia rugulosa (Labill.) Kuhn,Paesia rugosula (Labill.) Kuhn,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Paradavallodes kansuensis Ching,Paradavallodes kansuense Ching,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
