query,matched_name,matched_status,query_match_taxon_agree,dist,use_query_as_synonym,use_query_as_accepted,use_query_as_new,taxonomicStatus,namePublishedIn,nameAccordingTo,taxonRemarks,notes
Serpocaulon meniscifolium (Langsd. & Fisch.) A.R.Sm.,Serpocaulon menisciifolium (Langsd. & Fisch.) A. R. Sm.,accepted,FALSE,3,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Sphaerostephanos arbuscula (Willd.) Holttum,Sphaerostephanos arbusculus (Willd.) Holttum,accepted,FALSE,2,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Stigmatopteris ichthiosma (Sodiro) C.Chr.,Stigmatopteris ichtiosma (Sodiro) C. Chr.,accepted,FALSE,2,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Struthiopteris nipponica (Kunze) Nakai,Struthiopteris niponica (Kunze) Nakai,synonym,FALSE,1,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Tapeinidium denhami (Hook.) C.Chr.,Tapeinidium denhamii (Hook.) C. Chr.,accepted,FALSE,2,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Tapeinidium longipinnulum (Ces.) C.Chr.,Tapeinidium longipinnatum (Ces.) C. Chr.,accepted,FALSE,3,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Tectaria antioquoiana (Baker) C.Chr.,Tectaria antioquiana (Baker) C. Chr.,accepted,FALSE,2,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Tectaria zeylanica (Houtt.) Sledge,Tectaria zeilanica (Houtt.) Sledge,accepted,FALSE,1,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Terpsichore aspleniifolia (L.) A.R.Sm.,Terpsichore asplenifolia (L.) A. R. Sm.,accepted,FALSE,3,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Acystopteris taiwaniana (Tagawa) A.Love & D.Love,Acystopteris taiwaniana (Tagawa) Á. & D. Löve,accepted,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA
Adenophorus sarmentosus (Brack.) K.Wilson,Adenophorus sarmentosus (Brack.) K. A. Wilson,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Adiantopsis dichotoma (Cav.) T.Moore,Adiantopsis dichotoma (Cav.) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Adiantopsis monticola (Gardner) T.Moore,Adiantopsis monticola (Gardner) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Adiantopsis pedata (Hook.) T.Moore,Adiantopsis pedata (Hook.) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Adiantopsis trifurcata (Baker) M.A.Link-Perez & Hickey,Adiantopsis trifurcata (Baker) Link-Pérez & Hickey,accepted,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
Adiantum anceps Maxon & C.V.Morton,Adiantum anceps Maxon & Morton,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Adiantum calcareum Gardner,Adiantum calcareum Gaertn.,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Adiantum capillus-veneris var. dissectum (M.Martens & Galeotti) T.Moore,Adiantum capillus-veneris var. dissectum (M. Martens & Galeotti) Ching,synonym,TRUE,8,1,0,0,NA,NA,NCBI,author variant,NA
Adiantum fulvum M.Raoul,Adiantum fulvum Raoul,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Adiantum henslovianum Hook.f.,Adiantum henslovianum Hook. fil.,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Adiantum induratum H.Christ,Adiantum induratum Christ,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Adiantum jordanii Muell.Hal.,Adiantum jordanii Müll. Hal.,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Adiantum leveillei H.Christ,Adiantum leveillei Christ,synonym,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Adiantum madagascariense H.Rosend.,Adiantum madagascariense Rosend.,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Adiantum malesianum J.Ghatak,Adiantum malesianum Ghatak,synonym,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Adiantum monochlamys D.C.Eaton,Adiantum monochlamys Eaton,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
